name,artist,release_date,length (minutes),popularity,danceability,acousticness,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,hit
Back In Black,AC/DC,1980,4.26,84,0.31,0.011,0.7,0.00965,9,0.0828,-5.678,0.047,188.386,4,0.763,1
Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,1968,6.3,75,0.702,0.518,0.668,0.0,9,0.0588,-9.237,0.214,116.063,4,0.561,1
Wish You Were Here,Pink Floyd,1975,5.58,77,0.481,0.735,0.262,0.0114,7,0.832,-15.73,0.0414,122.883,4,0.375,1
With Or Without You - Remastered,U2,1987,4.93,79,0.54,0.000202,0.429,0.355,2,0.141,-11.822,0.0285,110.171,4,0.113,1
Sweet Child O' Mine,Guns N' Roses,1987,5.91,81,0.454,0.0866,0.91,0.0996,6,0.116,-7.766,0.0448,125.116,4,0.629,1
I Still Haven't Found What I'm Looking For,U2,1987,4.62,78,0.564,0.0135,0.774,0.00191,1,0.0861,-9.424,0.0368,100.894,4,0.657,1
Like a Rolling Stone,Bob Dylan,1965,6.16,74,0.483,0.729,0.721,0.0,0,0.189,-6.836,0.032,95.261,4,0.562,1
All Along the Watchtower,Jimi Hendrix,1968,4.01,78,0.438,0.00255,0.805,5.69e-05,8,0.0842,-6.237,0.0624,113.253,4,0.564,1
Under the Bridge,Red Hot Chili Peppers,1991,4.41,81,0.559,0.0576,0.345,0.000105,4,0.141,-13.496,0.0459,84.581,4,0.458,1
Creep,Radiohead,1993,3.98,82,0.515,0.0102,0.43,0.000141,7,0.129,-9.935,0.0369,91.841,4,0.104,1
Kashmir - 1990 Remaster,Led Zeppelin,1975,8.47,69,0.48,0.488,0.536,4.22e-05,2,0.155,-11.166,0.0427,80.617,3,0.581,1
Light My Fire,The Doors,1967,7.16,73,0.413,0.369,0.725,2.16e-05,3,0.0905,-5.787,0.0324,124.618,4,0.44,1
My Generation - Stereo Version,The Who,1965,3.31,68,0.412,0.308,0.782,0.00822,2,0.0775,-9.186,0.058,96.732,4,0.705,1
More Than a Feeling,Boston,1976,4.75,79,0.377,0.000894,0.682,0.00217,7,0.0504,-8.039,0.0299,108.736,4,0.288,1
"Another Brick in the Wall, Pt. 2",Pink Floyd,1979,3.98,76,0.694,0.0781,0.394,0.000677,0,0.247,-15.881,0.0428,104.126,4,0.719,1
Layla,Derek & The Dominos,1970,7.06,74,0.404,0.577,0.902,0.297,1,0.287,-3.88,0.0665,115.669,4,0.497,1
Gimme Shelter,The Rolling Stones,1969,4.51,75,0.634,0.447,0.63,0.039,1,0.17,-8.277,0.031,118.628,4,0.489,1
You Shook Me All Night Long,AC/DC,1980,3.5,80,0.532,0.00287,0.767,0.000513,7,0.39,-5.509,0.0574,127.361,4,0.755,1
Alive,Pearl Jam,1991,5.68,75,0.284,0.00752,0.875,0.000461,11,0.402,-6.069,0.0422,75.009,4,0.595,1
Won't Get Fooled Again - Original Album Version,The Who,1971,8.52,64,0.686,0.301,0.92,0.27,2,0.0807,-6.231,0.0566,135.027,4,0.225,1
London Calling - Remastered,The Clash,1979,3.34,73,0.651,0.123,0.801,0.0,0,0.0825,-7.34,0.0513,133.763,4,0.776,1
Come As You Are,Nirvana,1991,3.65,72,0.5,0.00016,0.824,0.00161,4,0.0916,-5.846,0.0388,120.125,4,0.539,1
Purple Haze,Jimi Hendrix,1967,2.85,72,0.533,0.00876,0.905,0.578,2,0.0698,-5.27,0.0754,108.9,4,0.486,1
Pride (In The Name Of Love) - Remastered 2009,U2,1984,3.81,59,0.458,0.00135,0.843,0.000296,4,0.778,-7.201,0.0316,105.701,4,0.713,1
Dream On,Aerosmith,1973,4.45,79,0.307,0.388,0.433,9.08e-05,1,0.332,-10.057,0.029,160.9,4,0.224,1
Sunday Bloody Sunday - Remastered 2008,U2,1983,4.66,71,0.543,0.402,0.944,0.000564,6,0.0373,-7.495,0.0543,101.174,4,0.735,1
Rock and Roll - Remaster,Led Zeppelin,1971,3.68,67,0.317,0.000582,0.887,0.00258,9,0.0891,-7.292,0.0375,169.613,4,0.871,1
In My Life - Remastered 2009,The Beatles,1965,2.44,73,0.688,0.449,0.435,0.0,9,0.113,-11.359,0.0323,103.239,4,0.435,1
Let It Be - Remastered 2009,The Beatles,1970,4.05,78,0.443,0.631,0.403,0.0,0,0.111,-8.339,0.0322,143.462,4,0.41,1
Baba O'Riley,The Who,1971,5.01,77,0.489,0.313,0.724,0.185,5,0.287,-8.367,0.0352,117.292,4,0.15,1
Jeremy,Pearl Jam,1991,5.3,72,0.285,0.0404,0.846,0.0,2,0.182,-6.472,0.0438,108.808,4,0.287,1
Welcome To The Jungle,Guns N' Roses,1987,4.53,78,0.447,0.0235,0.954,0.403,8,0.298,-8.069,0.0751,123.453,4,0.331,1
Bitter Sweet Symphony,The Verve,1997,5.95,78,0.356,0.0335,0.917,0.0,9,0.406,-6.006,0.0479,171.176,4,0.518,1
Roxanne,The Police,1978,3.2,76,0.618,0.0384,0.748,4.1e-06,0,0.0473,-8.905,0.358,134.114,4,0.663,1
Money,Pink Floyd,1973,6.38,72,0.469,0.0241,0.537,0.00201,9,0.269,-10.421,0.152,124.193,1,0.783,1
Every Breath You Take - Remastered 2003,The Police,1983,4.23,3,0.813,0.56,0.46,0.0105,1,0.0724,-9.78,0.0346,117.387,4,0.729,0
A Day In The Life - Remastered 2009,The Beatles,1967,5.62,66,0.364,0.29,0.457,0.000106,4,0.922,-14.162,0.0675,163.219,4,0.175,1
Sweet Emotion,Aerosmith,1975,4.57,75,0.38,0.00298,0.76,0.0294,9,0.104,-10.961,0.0378,99.437,4,0.491,1
Born To Be Wild - Single Version,Steppenwolf,1968,3.55,68,0.439,0.262,0.734,0.333,2,0.244,-12.168,0.097,145.703,4,0.54,1
New Year's Day - Single Edit - Remastered,U2,1983,3.93,57,0.53,0.0033,0.783,0.0107,4,0.319,-6.768,0.0311,133.662,4,0.571,1
"Paint It, Black",The Rolling Stones,1966,3.37,78,0.464,0.0493,0.795,0.00244,1,0.399,-9.267,0.0926,158.691,4,0.612,1
Black Dog - Remaster,Led Zeppelin,1971,4.92,72,0.437,0.396,0.864,0.0314,4,0.242,-7.842,0.0904,81.394,4,0.749,1
Basket Case,Green Day,1994,3.03,79,0.442,0.00293,0.943,8.71e-06,3,0.091,-3.205,0.0602,85.064,4,0.781,1
November Rain,Guns N' Roses,1991,8.93,80,0.294,0.0163,0.641,0.22,11,0.112,-9.316,0.0291,79.759,4,0.226,1
Even Flow,Pearl Jam,1991,4.88,75,0.394,0.00178,0.944,4.54e-06,10,0.298,-6.506,0.0761,105.338,4,0.265,1
You Can't Always Get What You Want,The Rolling Stones,1969,7.48,67,0.32,0.64,0.62,6.36e-05,0,0.253,-9.686,0.0594,86.327,4,0.472,1
Money for Nothing,Dire Straits,1985,8.44,62,0.667,0.0491,0.655,0.000894,2,0.0641,-9.339,0.0367,134.212,4,0.657,1
Nothing Else Matters,Metallica,1991,6.48,69,0.558,0.0505,0.364,5.02e-06,4,0.0753,-11.258,0.0265,142.171,3,0.17,1
Everlong,Foo Fighters,1997,4.18,78,0.413,5.99e-05,0.881,0.000308,11,0.0805,-5.541,0.0367,158.066,4,0.364,1
Angie,The Rolling Stones,1973,4.53,73,0.429,0.67,0.554,0.000152,9,0.105,-6.128,0.0291,136.302,4,0.407,1
Jump - 2015 Remaster,Van Halen,1984,4.03,79,0.572,0.171,0.835,0.000376,0,0.0702,-6.219,0.0317,129.994,4,0.796,1
(Don't Fear) The Reaper,Blue Öyster Cult,1976,5.14,77,0.333,0.0029,0.927,0.000208,9,0.297,-8.55,0.0733,141.466,4,0.385,1
Come Together - Remastered 2009,The Beatles,1969,4.33,78,0.533,0.0302,0.376,0.248,9,0.0926,-11.913,0.0393,165.007,4,0.187,1
Jumpin’ Jack Flash - Live,The Rolling Stones,2020,6.6,31,0.157,0.00527,0.977,0.562,4,0.961,-4.198,0.107,141.473,4,0.228,0
Time,Pink Floyd,1973,6.9,70,0.358,0.521,0.48,0.00428,9,0.178,-11.79,0.0849,120.317,4,0.356,1
Should I Stay or Should I Go - Remastered,The Clash,1982,3.15,79,0.742,0.079,0.833,0.0,2,0.384,-6.463,0.115,113.375,4,0.816,1
Mr. Brightside,The Killers,2004,3.71,76,0.356,0.00101,0.924,0.0,1,0.0953,-3.74,0.0808,148.017,4,0.232,1
Beautiful Day,U2,2000,4.11,64,0.539,0.014,0.926,0.00136,2,0.36,-6.495,0.0499,136.279,4,0.454,1
House Of The Rising Sun,The Animals,1964,4.52,70,0.295,0.000385,0.584,0.218,9,0.0996,-6.696,0.0345,117.2,3,0.228,1
Lola - Coca Cola Version,The Kinks,1970,4.02,70,0.474,0.582,0.917,0.231,9,0.201,-4.19,0.0395,152.113,4,0.902,1
Loser,Beck,1994,3.92,70,0.654,0.0337,0.611,0.000178,2,0.405,-10.45,0.119,85.387,4,0.786,1
Killing In The Name,Rage Against The Machine,1992,5.23,78,0.466,0.0266,0.833,0.0,7,0.0327,-4.215,0.304,88.785,4,0.661,1
All My Life,Foo Fighters,2002,4.38,1,0.583,0.000231,0.586,0.000633,5,0.494,-5.683,0.0518,167.798,4,0.622,0
Walk This Way,Aerosmith,1975,3.67,75,0.653,0.0114,0.73,1.03e-05,5,0.0754,-10.613,0.043,108.705,4,0.894,1
Sultans of Swing,Dire Straits,1978,5.84,67,0.73,0.0632,0.868,0.0661,5,0.318,-7.325,0.0288,148.217,4,0.923,1
We Will Rock You - Remastered,Queen,1977,2.03,69,0.693,0.679,0.497,0.0,2,0.258,-7.316,0.119,81.308,4,0.473,1
Song 2 - 2012 Remaster,Blur,1997,2.02,76,0.674,0.00178,0.789,0.0071,8,0.0754,-6.903,0.0676,129.804,4,0.918,1
Love Will Tear Us Apart - 2010 Remaster,Joy Division,2010,3.41,60,0.525,0.000989,0.902,0.691,2,0.137,-8.662,0.0368,146.83,4,0.907,1
Where The Streets Have No Name - Remastered,U2,1987,5.63,66,0.49,0.00976,0.724,0.0046,2,0.159,-9.581,0.0366,125.812,4,0.292,1
In the End,Linkin Park,2000,3.61,84,0.556,0.00958,0.864,0.0,3,0.209,-5.87,0.0584,105.143,4,0.4,1
Good Vibrations - Remastered,The Beach Boys,1967,3.65,70,0.396,0.326,0.473,0.000124,10,0.109,-7.67,0.0345,133.449,4,0.385,1
All Right Now,Free,1970,5.51,70,0.787,0.221,0.472,0.000336,2,0.153,-12.824,0.0832,120.059,4,0.824,1
Changes - 2015 Remaster,David Bowie,1971,3.63,65,0.547,0.505,0.308,0.0,0,0.109,-11.75,0.0377,114.719,4,0.41,1
Paradise City,Guns N' Roses,1987,6.77,1,0.274,0.0214,0.949,0.00778,11,0.218,-8.642,0.0896,100.346,4,0.497,0
One (Remastered),Metallica,1988,7.44,67,0.438,0.000668,0.687,0.0801,7,0.42,-9.15,0.0619,103.01,3,0.426,1
Hey Joe,Jimi Hendrix,1967,3.5,71,0.346,0.00603,0.768,0.38,9,0.0244,-5.695,0.0377,169.492,4,0.532,1
Sunshine Of Your Love,Cream,2004,4.17,71,0.683,0.385,0.594,8.61e-05,2,0.121,-8.289,0.0347,115.099,4,0.734,1
Give It Away,Red Hot Chili Peppers,1991,4.72,73,0.666,0.00244,0.936,0.086,7,0.153,-9.919,0.0476,91.577,4,0.776,1
Take Me Out,Franz Ferdinand,2004,3.95,74,0.278,0.000423,0.676,0.000899,9,0.136,-8.821,0.0371,104.545,4,0.494,1
Sweet Home Alabama,Lynyrd Skynyrd,1974,4.73,82,0.596,0.181,0.605,0.000331,7,0.0863,-12.145,0.0255,97.798,4,0.886,1
Highway to Hell,AC/DC,1979,3.47,84,0.574,0.061,0.913,0.00158,6,0.156,-4.793,0.133,115.728,4,0.423,1
L.A. Woman,The Doors,1971,7.85,67,0.354,0.0817,0.731,0.00119,2,0.115,-9.178,0.0381,170.64,4,0.698,1
American Idiot,Green Day,2004,2.94,79,0.38,2.64e-05,0.988,7.86e-05,1,0.368,-2.042,0.0639,186.113,4,0.769,1
Black Hole Sun,Soundgarden,1994,5.31,76,0.35,0.000217,0.828,0.000161,6,0.0774,-5.373,0.041,105.435,4,0.147,1
Maggie May,Rod Stewart,1971,5.84,72,0.605,0.559,0.574,0.113,2,0.0684,-10.536,0.0377,129.449,4,0.543,1
It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,1987,4.12,69,0.381,0.0258,0.894,0.0,7,0.0251,-8.638,0.037,205.528,4,0.797,1
Once in a Lifetime - 2005 Remaster,Talking Heads,1980,4.33,71,0.644,0.181,0.919,0.134,2,0.622,-6.289,0.0561,117.459,4,0.871,1
Strawberry Fields Forever - Remastered 2009,The Beatles,1967,4.12,70,0.39,0.336,0.502,0.000138,10,0.0713,-12.277,0.178,97.871,4,0.289,1
Riders on the Storm,The Doors,1971,7.25,74,0.549,0.25,0.722,0.0138,11,0.11,-11.729,0.0283,103.885,4,0.716,1
Thunderstruck,AC/DC,1990,4.88,82,0.502,0.000147,0.89,0.0117,4,0.217,-5.175,0.0364,133.52,4,0.259,1
Wonderwall - Remastered,Oasis,1995,4.31,40,0.372,0.000453,0.865,0.0,2,0.234,-4.918,0.0381,174.53,4,0.478,0
Good Riddance (Time of Your Life),Green Day,1997,2.56,75,0.475,0.183,0.432,0.0,7,0.161,-7.844,0.0302,94.605,4,0.648,1
The Boys Are Back In Town,Thin Lizzy,1976,4.45,74,0.445,0.234,0.706,0.000252,8,0.205,-9.803,0.0461,80.823,4,0.768,1
Interstate Love Song - 2019 Remaster,Stone Temple Pilots,1994,3.25,72,0.215,0.000273,0.927,0.00661,9,0.126,-7.327,0.0452,170.814,4,0.49,1
Start Me Up - Remastered,The Rolling Stones,1981,3.55,76,0.631,0.0436,0.932,0.137,5,0.0918,-4.142,0.0354,122.429,4,0.971,1
Blitzkrieg Bop - 2016 Remaster,Ramones,1976,2.24,71,0.385,0.000269,0.783,0.47,9,0.108,-2.533,0.233,176.701,4,0.902,1
Fight For Your Right,Beastie Boys,1986,3.48,69,0.503,0.00757,0.858,0.00234,8,0.0803,-6.296,0.0657,133.615,5,0.419,1
The One I Love - Remastered,R.E.M.,1987,3.3,64,0.488,0.000395,0.84,1.21e-06,2,0.346,-4.626,0.0356,127.862,4,0.559,1
Walk On the Wild Side,Lou Reed,1972,4.24,75,0.575,0.683,0.318,0.000202,0,0.0934,-16.729,0.109,104.522,4,0.385,1
Under Pressure - (Tribute to Queen & David Bowie),Studio Allstars,2009,3.79,0,0.819,0.127,0.543,0.0784,2,0.0743,-11.705,0.0322,114.981,4,0.596,0
Yellow,Coldplay,2000,4.45,84,0.429,0.00239,0.661,0.000121,11,0.234,-7.227,0.0281,173.372,4,0.285,1
Ramble On - 1990 Remaster,Led Zeppelin,1969,4.39,70,0.468,0.072,0.607,0.000852,9,0.225,-11.367,0.0336,98.429,4,0.886,1
We Are The Champions - Remastered 2011,Queen,1977,2.99,64,0.268,0.378,0.459,0.0,7,0.119,-6.948,0.0346,64.223,4,0.172,1
Go Your Own Way - 2004 Remaster,Fleetwood Mac,1977,3.73,75,0.586,0.0167,0.941,0.000776,5,0.068,-5.139,0.0375,135.448,4,0.831,1
Numb,Linkin Park,2003,3.09,82,0.496,0.0046,0.863,0.0,9,0.639,-4.153,0.0381,110.018,4,0.243,1
Blue Monday - 2016 Remaster,New Order,2005,7.51,69,0.793,0.000726,0.703,0.88,0,0.075,-9.548,0.0581,130.27,4,0.856,1
While My Guitar Gently Weeps - Third Version / Take 27,The Beatles,2018,3.29,31,0.54,0.24,0.512,0.0181,4,0.587,-9.839,0.0348,113.158,4,0.759,0
I Love Rock 'N Roll,Joan Jett & The Blackhearts,1981,2.92,73,0.535,0.326,0.716,0.0,4,0.659,-5.025,0.0431,94.379,4,0.901,1
White Room,Cream,1968,4.97,72,0.553,0.191,0.576,0.00664,0,0.0365,-13.458,0.0304,109.827,4,0.457,1
How You Remind Me,Nickelback,2001,3.73,78,0.446,0.00135,0.764,0.0,10,0.099,-5.042,0.033,172.094,4,0.543,1
Space Oddity - 2015 Remaster,David Bowie,1969,5.31,73,0.299,0.0748,0.443,0.000138,0,0.177,-12.621,0.0346,139.539,4,0.434,1
The Weight - Remastered,The Band,1968,4.57,73,0.63,0.373,0.551,5.75e-05,9,0.103,-9.28,0.0549,143.868,4,0.518,1
Sledgehammer - 2012 Remaster,Peter Gabriel,1986,5.2,57,0.641,0.044,0.682,0.0,8,0.0394,-7.561,0.0392,96.319,4,0.468,1
Mysterious Ways,U2,1991,4.06,61,0.674,0.00156,0.659,0.00765,8,0.108,-8.049,0.0277,99.768,4,0.697,1
Bring Me To Life,Evanescence,2003,3.93,80,0.331,0.00721,0.943,2.06e-06,4,0.242,-3.188,0.0698,94.612,4,0.296,1
You Really Got Me - Mono Mix,The Kinks,1964,2.24,71,0.573,0.493,0.939,0.0,8,0.0994,-6.441,0.0808,137.382,4,0.963,1
Been Caught Stealing,Jane's Addiction,1990,3.58,58,0.639,0.00326,0.929,0.0501,0,0.242,-4.762,0.212,103.758,4,0.688,1
Plush - 2017 Remaster,Stone Temple Pilots,1992,5.23,62,0.426,0.00671,0.94,1.72e-06,7,0.14,-5.279,0.0423,144.49,4,0.466,1
Rock the Casbah - Remastered,The Clash,1982,3.71,72,0.796,0.287,0.872,0.0,9,0.284,-6.722,0.0573,129.894,4,0.866,1
Foxey Lady,Jimi Hendrix,1997,3.3,46,0.494,0.0613,0.838,0.26,4,0.405,-6.028,0.0387,98.019,4,0.558,0
Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd,1975,13.52,66,0.266,0.771,0.294,0.697,7,0.107,-11.938,0.0291,137.941,3,0.0397,1
Livin' On A Prayer,Bon Jovi,1986,4.15,2,0.534,0.0768,0.887,9.93e-05,0,0.325,-3.777,0.0345,122.494,4,0.72,0
Me and Bobby McGee,Janis Joplin,1971,4.52,72,0.453,0.302,0.464,5.96e-05,2,0.152,-10.96,0.0431,93.19,4,0.658,1
Who Are You,The Who,1978,6.36,69,0.651,0.262,0.648,0.0042,9,0.0655,-11.409,0.0501,156.372,4,0.49,1
Brown Sugar - 2009 Mix,The Rolling Stones,1971,3.81,69,0.633,0.219,0.934,0.00021,0,0.0592,-3.594,0.0344,128.606,4,0.963,1
Black,Pearl Jam,1991,5.71,74,0.36,0.323,0.684,0.0,4,0.34,-6.457,0.0308,77.15,4,0.2,1
Lust For Life,Iggy Pop,1977,5.23,67,0.383,0.0276,0.97,0.0,9,0.0942,-5.638,0.0435,101.603,4,0.62,1
Carry on Wayward Son,Kansas,1976,5.38,75,0.482,0.00321,0.786,8.88e-05,7,0.446,-5.735,0.032,126.755,4,0.793,1
Rock And Roll All Nite,KISS,1975,2.81,75,0.654,0.0468,0.929,0.0,1,0.0539,-5.906,0.0998,144.774,4,0.902,1
American Pie,Don McLean,1971,8.61,75,0.531,0.699,0.481,0.0,4,0.0842,-11.709,0.06,138.45,4,0.491,1
Cocaine,Eric Clapton,1977,3.69,67,0.699,0.0607,0.502,0.0337,9,0.317,-12.526,0.0278,105.266,4,0.676,1
Runnin' with the Devil - 2015 Remaster,Van Halen,1978,3.58,72,0.472,0.148,0.9,0.000297,8,0.34,-6.406,0.0582,95.826,4,0.42,1
Honky Tonk Women - Live,The Rolling Stones,2020,4.91,35,0.368,0.0137,0.987,0.00329,7,0.96,-4.482,0.115,120.346,4,0.342,0
Clocks,Coldplay,2002,5.13,77,0.577,0.599,0.749,0.0115,5,0.183,-7.215,0.0279,130.97,4,0.255,1
Best of You,Foo Fighters,2005,4.26,76,0.366,0.000769,0.94,9.42e-05,1,0.188,-5.119,0.0696,130.198,4,0.369,1
Ziggy Stardust - 2012 Remaster,David Bowie,1972,3.24,64,0.44,0.048,0.565,0.0,7,0.213,-11.657,0.121,161.124,4,0.495,1
By the Way,Red Hot Chili Peppers,2002,3.62,73,0.451,0.0264,0.97,0.00355,0,0.102,-4.938,0.107,122.444,4,0.198,1
Paranoid Android,Radiohead,1997,6.45,67,0.252,0.0377,0.849,0.00592,5,0.0545,-6.501,0.0581,163.704,4,0.194,1
Personal Jesus - Single Version,Depeche Mode,1998,3.75,70,0.673,0.0911,0.899,0.0172,11,0.0481,-3.528,0.0434,129.885,4,0.793,1
In Bloom - Nevermind Version,Nirvana,1991,4.25,65,0.436,3.33e-05,0.876,0.000104,10,0.205,-4.902,0.0647,157.044,4,0.512,1
Dirty Deeds Done Dirt Cheap,AC/DC,1976,3.87,74,0.668,0.214,0.906,0.00245,11,0.135,-4.881,0.17,135.653,4,0.507,1
Karma Police,Radiohead,1997,4.4,74,0.36,0.0626,0.505,9.22e-05,7,0.172,-9.129,0.026,74.807,4,0.317,1
Revolution - Remastered 2009,The Beatles,1973,3.42,66,0.407,0.0734,0.834,0.00021,6,0.241,-9.224,0.208,121.38,4,0.71,1
Free Fallin',Tom Petty,1989,4.27,78,0.623,0.212,0.449,0.0,5,0.0613,-13.333,0.0253,84.383,4,0.572,1
Something - Remastered 2009,The Beatles,1969,3.04,71,0.396,0.198,0.338,2.62e-06,0,0.138,-10.872,0.0304,133.522,4,0.377,1
How Soon Is Now? - 2011 Remaster,The Smiths,1984,6.8,70,0.398,0.000854,0.93,0.121,11,0.0874,-6.76,0.0615,190.818,4,0.725,1
A Whiter Shade of Pale - Original Single Version,Procol Harum,1967,4.15,47,0.249,0.504,0.66,0.0026,0,0.0891,-6.905,0.0342,149.813,4,0.435,0
Buddy Holly,Various Artists,2020,2.68,4,0.52,0.000572,0.912,0.000378,8,0.0554,-3.118,0.0372,121.206,4,0.821,0
Black Magic Woman - Single Version,Santana,1969,3.27,67,0.489,0.676,0.349,0.0789,2,0.0866,-14.295,0.0323,124.348,4,0.622,1
Boulevard of Broken Dreams,Green Day,2017,4.37,75,0.496,0.00552,0.682,2.94e-05,8,0.0589,-4.095,0.0294,167.06,4,0.474,1
Bang A Gong (Get It On) (Electric Version),T. Rex,2010,4.74,44,0.788,0.451,0.748,0.00408,9,0.104,-6.907,0.0306,121.047,4,0.845,0
Wild Horses - 2009 Mix,The Rolling Stones,1971,5.7,72,0.432,0.687,0.389,0.0107,7,0.0788,-6.517,0.0255,139.506,4,0.158,1
Another One Bites The Dust - Remastered 2011,Queen,1980,3.58,73,0.933,0.112,0.528,0.329,5,0.163,-6.472,0.162,109.975,4,0.756,1
Lithium,Nirvana,1991,4.28,68,0.678,0.00174,0.656,0.0,7,0.0631,-6.41,0.0381,123.207,4,0.485,1
Yesterday - Remastered 2009,The Beatles,1965,2.09,77,0.332,0.879,0.179,0.0,5,0.0886,-11.83,0.0326,96.529,4,0.315,1
When I Come Around,Green Day,1994,2.97,74,0.531,0.0175,0.909,0.0,11,0.231,-4.236,0.034,97.546,4,0.814,1
Sex on Fire,Kings of Leon,2008,3.39,80,0.542,0.00172,0.905,0.0104,9,0.136,-5.653,0.054,153.398,4,0.374,1
Heart of Gold - 2009 Remaster,Neil Young,1972,3.12,73,0.541,0.189,0.459,0.0274,4,0.099,-10.433,0.0297,171.165,4,0.803,1
Hey Ya! - Radio Mix,OutKast,2003,3.92,78,0.727,0.103,0.974,0.000532,4,0.174,-2.261,0.0664,79.526,4,0.965,1
Superstition - Single Version,Stevie Wonder,2002,4.09,0,0.643,0.0443,0.628,0.00613,10,0.0359,-12.075,0.0748,100.392,4,0.894,0
Hells Bells,AC/DC,1980,5.2,75,0.389,0.00532,0.873,0.0055,4,0.273,-4.768,0.0475,106.767,4,0.303,1
Eleanor Rigby - Remastered 2009,The Beatles,1966,2.11,69,0.581,0.936,0.28,1.56e-05,4,0.305,-9.091,0.0381,137.831,4,0.813,1
No One Knows,Queens of the Stone Age,2002,4.65,65,0.507,0.0359,0.588,0.000129,0,0.373,-4.881,0.0641,170.889,4,0.637,1
Ace of Spades,Motörhead,1980,2.78,74,0.329,0.000852,0.974,0.000118,3,0.0904,-8.77,0.135,140.862,4,0.234,1
A Hard Day's Night - Remastered 2009,The Beatles,1964,2.57,67,0.59,0.137,0.805,0.0,0,0.0996,-6.481,0.0371,138.514,4,0.797,1
Tom Sawyer,Rush,1981,4.61,72,0.536,0.00145,0.901,0.0186,9,0.06,-7.211,0.0374,87.559,4,0.666,1
Fortunate Son,Creedence Clearwater Revival,1969,2.35,81,0.64,0.201,0.663,0.00806,0,0.152,-7.516,0.0374,132.77,4,0.663,1
"Anarchy In The U.K. - Live From Finsbury Park,London,United Kingdom/1996",Sex Pistols,1996,3.54,30,0.273,7.14e-05,0.953,0.00159,4,0.968,-6.627,0.0614,134.887,4,0.285,0
Drive,Incubus,1999,3.87,74,0.645,0.0562,0.792,0.0121,4,0.119,-7.34,0.036,90.565,4,0.666,1
Somebody to Love,Jefferson Airplane,1967,2.91,72,0.504,0.408,0.578,0.0,4,0.321,-9.302,0.031,132.411,4,0.654,1
School's Out,Alice Cooper,1972,3.5,67,0.294,0.05,0.745,0.125,5,0.676,-9.138,0.0461,134.364,4,0.347,1
Respect,Aretha Franklin,1967,2.46,73,0.805,0.164,0.558,2.2e-05,0,0.0546,-5.226,0.041,114.95,4,0.965,1
Last Resort,Papa Roach,2000,3.33,2,0.581,0.000504,0.887,0.00111,4,0.268,-3.659,0.0624,90.578,4,0.724,0
